experiment_hash,seed,condition,mode,accuracy,balanced_accuracy,spikes_per_correct,firing_rate_hz,assembly_separation,effective_gate,effective_gate_variance
3974457A05BA475D,173,standard,tanh,1.000000000000,1.000000000000,7.343750000000,3.824869791667,3.580476861152,0.514864392574,0.097732834008
3974457A05BA475D,173,standard,random,1.000000000000,1.000000000000,7.031250000000,3.662109375000,3.477159107999,0.411763927199,0.135370187354
3974457A05BA475D,173,high_noise,kernel,0.968750000000,0.968750000000,13.129032258065,6.624348958333,3.859153768652,0.579538601408,0.139791099983
3974457A05BA475D,173,high_noise,constant,0.968750000000,0.968750000000,13.096774193548,6.608072916667,3.843645747208,0.579538601408,0.000000000000
3974457A05BA475D,173,high_noise,disabled,1.000000000000,1.000000000000,13.250000000000,6.901041666667,3.889152416784,1.000000000000,0.000000000000
3974457A05BA475D,173,high_noise,sign,0.968750000000,0.968750000000,13.129032258065,6.624348958333,3.859153768652,0.574330164218,0.154475026687
3974457A05BA475D,173,high_noise,tanh,1.000000000000,1.000000000000,12.781250000000,6.656901041667,3.907655477330,0.634073290763,0.104180086980
3974457A05BA475D,173,high_noise,random,1.000000000000,1.000000000000,12.875000000000,6.705729166667,3.886535819540,0.599459010656,0.136577426318
3974457A05BA475D,173,weak_signal,kernel,0.687500000000,0.687500000000,2.545454545455,0.911458333333,2.392076453514,0.163592037794,0.025604025134
3974457A05BA475D,173,weak_signal,constant,0.687500000000,0.687500000000,2.545454545455,0.911458333333,2.392076453514,0.163592037794,0.000000000000
3974457A05BA475D,173,weak_signal,disabled,0.625000000000,0.625000000000,2.900000000000,0.944010416667,2.380415624698,1.000000000000,0.000000000000
3974457A05BA475D,173,weak_signal,sign,0.687500000000,0.687500000000,2.545454545455,0.911458333333,2.392076453514,0.137086092715,0.028293495899
3974457A05BA475D,173,weak_signal,tanh,0.625000000000,0.625000000000,2.850000000000,0.927734375000,2.346720513790,0.350130520348,0.037845843764
3974457A05BA475D,173,weak_signal,random,0.687500000000,0.687500000000,2.545454545455,0.911458333333,2.392076453514,0.183751794688,0.039117252734
3974457A05BA475D,173,sparse_network,kernel,1.000000000000,1.000000000000,9.468750000000,3.287760416667,3.823043065921,0.334467380768,0.114389878853
3974457A05BA475D,173,sparse_network,constant,1.000000000000,1.000000000000,9.718750000000,3.374565972222,3.852749353188,0.334467380768,0.000000000000
3974457A05BA475D,173,sparse_network,disabled,1.000000000000,1.000000000000,10.468750000000,3.634982638889,3.926169997357,1.000000000000,0.000000000000
3974457A05BA475D,173,sparse_network,sign,1.000000000000,1.000000000000,9.468750000000,3.287760416667,3.823043065921,0.316711590296,0.126405358868
3974457A05BA475D,173,sparse_network,tanh,1.000000000000,1.000000000000,9.687500000000,3.363715277778,3.849989668409,0.467421979800,0.085989203104
3974457A05BA475D,173,sparse_network,random,1.000000000000,1.000000000000,9.593750000000,3.331163194444,3.854978598843,0.329056322043,0.112473679128
3974457A05BA475D,197,standard,kernel,0.968750000000,0.968750000000,7.451612903226,3.759765625000,3.606426603041,0.426207574016,0.137965048180
3974457A05BA475D,197,standard,constant,0.968750000000,0.968750000000,7.483870967742,3.776041666667,3.587524439739,0.426207574016,0.000000000000
3974457A05BA475D,197,standard,disabled,1.000000000000,1.000000000000,7.875000000000,4.101562500000,3.631760362272,1.000000000000,0.000000000000
3974457A05BA475D,197,standard,sign,0.968750000000,0.968750000000,7.451612903226,3.759765625000,3.606426603041,0.413149847095,0.152457050940
3974457A05BA475D,197,standard,tanh,1.000000000000,1.000000000000,7.343750000000,3.824869791667,3.607872774336,0.531478057546,0.101288756882
3974457A05BA475D,197,standard,random,0.968750000000,0.968750000000,7.580645161290,3.824869791667,3.637911008262,0.427044839217,0.138102655575
3974457A05BA475D,197,high_noise,kernel,0.968750000000,0.968750000000,13.032258064516,6.575520833333,3.387125627419,0.596943304786,0.137026541315
3974457A05BA475D,197,high_noise,constant,0.937500000000,0.937500000000,13.600000000000,6.640625000000,3.451204493870,0.596943304786,0.000000000000
3974457A05BA475D,197,high_noise,disabled,0.875000000000,0.875000000000,15.035714285714,6.852213541667,3.319836931727,1.000000000000,0.000000000000
3974457A05BA475D,197,high_noise,sign,0.968750000000,0.968750000000,13.000000000000,6.559244791667,3.398149535201,0.591826086957,0.151567969754
3974457A05BA475D,197,high_noise,tanh,0.937500000000,0.937500000000,13.500000000000,6.591796875000,3.427942524051,0.655155134800,0.099049519799
3974457A05BA475D,197,high_noise,random,0.937500000000,0.937500000000,13.600000000000,6.640625000000,3.343441705546,0.612902900482,0.133959271954
3974457A05BA475D,197,weak_signal,kernel,0.500000000000,0.500000000000,3.625000000000,0.944010416667,1.835418432440,0.158410143182,0.021998929715
3974457A05BA475D,197,weak_signal,constant,0.500000000000,0.500000000000,3.625000000000,0.944010416667,1.835418432440,0.158410143182,0.000000000000
3974457A05BA475D,197,weak_signal,disabled,0.500000000000,0.500000000000,3.625000000000,0.944010416667,1.835418432440,1.000000000000,0.000000000000
3974457A05BA475D,197,weak_signal,sign,0.500000000000,0.500000000000,3.625000000000,0.944010416667,1.835418432440,0.131638418079,0.024309744965
3974457A05BA475D,197,weak_signal,tanh,0.500000000000,0.500000000000,3.625000000000,0.944010416667,1.835418432440,0.345082685202,0.023015874399
3974457A05BA475D,197,weak_signal,random,0.500000000000,0.500000000000,3.625000000000,0.944010416667,1.835418432440,0.188507425858,0.042186167603
3974457A05BA475D,197,sparse_network,kernel,1.000000000000,1.000000000000,9.500000000000,3.298611111111,3.792185294848,0.323254895125,0.110356831186
3974457A05BA475D,197,sparse_network,constant,1.000000000000,1.000000000000,9.593750000000,3.331163194444,3.856950476746,0.323254895125,0.000000000000
3974457A05BA475D,197,sparse_network,disabled,1.000000000000,1.000000000000,9.906250000000,3.439670138889,3.916870908055,1.000000000000,0.000000000000
3974457A05BA475D,197,sparse_network,sign,1.000000000000,1.000000000000,9.500000000000,3.298611111111,3.792185294848,0.308393632417,0.123286999902
3974457A05BA475D,197,sparse_network,tanh,1.000000000000,1.000000000000,9.625000000000,3.342013888889,3.820229175660,0.435257158555,0.075725670912
3974457A05BA475D,197,sparse_network,random,1.000000000000,1.000000000000,9.437500000000,3.276909722222,3.837159782233,0.322433798665,0.110051109837
3974457A05BA475D,223,standard,kernel,0.937500000000,0.937500000000,7.300000000000,3.564453125000,3.476913054344,0.362792581543,0.123465444752
3974457A05BA475D,223,standard,constant,0.937500000000,0.937500000000,7.566666666667,3.694661458333,3.441623487027,0.362792581543,0.000000000000
3974457A05BA475D,223,standard,disabled,0.937500000000,0.937500000000,8.166666666667,3.987630208333,3.412904409975,1.000000000000,0.000000000000
3974457A05BA475D,223,standard,sign,0.937500000000,0.937500000000,7.300000000000,3.564453125000,3.476913054344,0.346486486486,0.136433601169
3974457A05BA475D,223,standard,tanh,0.937500000000,0.937500000000,7.633333333333,3.727213541667,3.409264981864,0.493107234690,0.090849681763
3974457A05BA475D,223,standard,random,0.937500000000,0.937500000000,7.433333333333,3.629557291667,3.464644017632,0.328655340762,0.112329892153
3974457A05BA475D,223,high_noise,kernel,0.875000000000,0.875000000000,14.142857142857,6.445312500000,3.427474440608,0.557100047735,0.142457015887
3974457A05BA475D,223,high_noise,constant,0.906250000000,0.906250000000,13.689655172414,6.461588541667,3.464751919418,0.557100047735,0.000000000000
3974457A05BA475D,223,high_noise,disabled,0.875000000000,0.875000000000,14.857142857143,6.770833333333,3.433051104844,1.000000000000,0.000000000000
3974457A05BA475D,223,high_noise,sign,0.875000000000,0.875000000000,14.142857142857,6.445312500000,3.427474440608,0.549164208456,0.157582880607
3974457A05BA475D,223,high_noise,tanh,0.843750000000,0.843750000000,14.925925925926,6.559244791667,3.461693730125,0.627161488586,0.096345351682
3974457A05BA475D,223,high_noise,random,0.843750000000,0.843750000000,14.777777777778,6.494140625000,3.513215401915,0.513989447014,0.144758815466
3974457A05BA475D,223,weak_signal,kernel,0.843750000000,0.843750000000,2.592592592593,1.139322916667,2.208901067415,0.220814096089,0.061839197303
3974457A05BA475D,223,weak_signal,constant,0.843750000000,0.843750000000,2.592592592593,1.139322916667,2.207454255627,0.220814096089,0.000000000000
3974457A05BA475D,223,weak_signal,disabled,0.781250000000,0.781250000000,3.120000000000,1.269531250000,2.286103812556,1.000000000000,0.000000000000
3974457A05BA475D,223,weak_signal,sign,0.843750000000,0.843750000000,2.592592592593,1.139322916667,2.208901067415,0.197237569061,0.068334910412
3974457A05BA475D,223,weak_signal,tanh,0.843750000000,0.843750000000,2.666666666667,1.171875000000,2.199277307086,0.383889965220,0.049924155578
3974457A05BA475D,223,weak_signal,random,0.812500000000,0.812500000000,2.769230769231,1.171875000000,2.216420141137,0.206473092536,0.053372744204
3974457A05BA475D,223,sparse_network,kernel,1.000000000000,1.000000000000,9.593750000000,3.331163194444,3.779275009096,0.328326970216,0.112210746823
3974457A05BA475D,223,sparse_network,constant,1.000000000000,1.000000000000,9.812500000000,3.407118055556,3.806650558317,0.328326970216,0.000000000000
3974457A05BA475D,223,sparse_network,disabled,1.000000000000,1.000000000000,10.281250000000,3.569878472222,3.873774628201,1.000000000000,0.000000000000
3974457A05BA475D,223,sparse_network,sign,1.000000000000,1.000000000000,9.593750000000,3.331163194444,3.779275009096,0.310256410256,0.123997370151
3974457A05BA475D,223,sparse_network,tanh,1.000000000000,1.000000000000,9.937500000000,3.450520833333,3.798416364552,0.468581193759,0.083631488743
3974457A05BA475D,223,sparse_network,random,1.000000000000,1.000000000000,9.718750000000,3.374565972222,3.785754775412,0.317373626564,0.108136636314
3974457A05BA475D,251,standard,kernel,1.000000000000,1.000000000000,6.750000000000,3.515625000000,3.616412855831,0.370917975640,0.125772396338
3974457A05BA475D,251,standard,constant,1.000000000000,1.000000000000,6.937500000000,3.613281250000,3.609515012808,0.370917975640,0.000000000000
3974457A05BA475D,251,standard,disabled,1.000000000000,1.000000000000,7.531250000000,3.922526041667,3.577742717174,1.000000000000,0.000000000000
3974457A05BA475D,251,standard,sign,1.000000000000,1.000000000000,6.750000000000,3.515625000000,3.616412855831,0.355028462998,0.138983253459
3974457A05BA475D,251,standard,tanh,1.000000000000,1.000000000000,6.875000000000,3.580729166667,3.629856319568,0.487239361979,0.090961698677
3974457A05BA475D,251,standard,random,1.000000000000,1.000000000000,6.968750000000,3.629557291667,3.678020244355,0.369614538311,0.125411114932
3974457A05BA475D,251,high_noise,kernel,0.906250000000,0.906250000000,13.517241379310,6.380208333333,3.232523673228,0.520826903224,0.144641539268
3974457A05BA475D,251,high_noise,constant,0.875000000000,0.875000000000,14.107142857143,6.429036458333,3.348434371330,0.520826903224,0.000000000000
3974457A05BA475D,251,high_noise,disabled,0.875000000000,0.875000000000,14.857142857143,6.770833333333,3.453376019205,1.000000000000,0.000000000000
3974457A05BA475D,251,high_noise,sign,0.906250000000,0.906250000000,13.551724137931,6.396484375000,3.232680374483,0.515432742440,0.159761830461
3974457A05BA475D,251,high_noise,tanh,0.875000000000,0.875000000000,14.107142857143,6.429036458333,3.306699907991,0.586194060300,0.098587013398
3974457A05BA475D,251,high_noise,random,0.875000000000,0.875000000000,13.857142857143,6.315104166667,3.359837904843,0.515250097516,0.144740331805
3974457A05BA475D,251,weak_signal,kernel,0.687500000000,0.687500000000,3.227272727273,1.155598958333,2.016298236233,0.233125720586,0.068780422988
3974457A05BA475D,251,weak_signal,constant,0.656250000000,0.656250000000,3.380952380952,1.155598958333,1.953743560716,0.233125720586,0.000000000000
3974457A05BA475D,251,weak_signal,disabled,0.718750000000,0.718750000000,3.391304347826,1.269531250000,2.044795639924,1.000000000000,0.000000000000
3974457A05BA475D,251,weak_signal,sign,0.687500000000,0.687500000000,3.227272727273,1.155598958333,2.016298236233,0.210179640719,0.076004159346
3974457A05BA475D,251,weak_signal,tanh,0.687500000000,0.687500000000,3.272727272727,1.171875000000,1.983897856759,0.369389563047,0.038651106437
3974457A05BA475D,251,weak_signal,random,0.656250000000,0.656250000000,3.333333333333,1.139322916667,1.986188153798,0.253604545197,0.079653135207
3974457A05BA475D,251,sparse_network,kernel,1.000000000000,1.000000000000,11.500000000000,3.993055555556,4.053255641004,0.356731230236,0.121658210994
3974457A05BA475D,251,sparse_network,constant,1.000000000000,1.000000000000,11.437500000000,3.971354166667,4.049026458142,0.356731230236,0.000000000000
3974457A05BA475D,251,sparse_network,disabled,1.000000000000,1.000000000000,11.968750000000,4.155815972222,4.051910419040,1.000000000000,0.000000000000
3974457A05BA475D,251,sparse_network,sign,1.000000000000,1.000000000000,11.500000000000,3.993055555556,4.053255641004,0.340115440115,0.134436927511
3974457A05BA475D,251,sparse_network,tanh,1.000000000000,1.000000000000,11.531250000000,4.003906250000,4.033609427484,0.484221788731,0.084566338732
3974457A05BA475D,251,sparse_network,random,1.000000000000,1.000000000000,11.375000000000,3.949652777778,4.078107988453,0.351885546309,0.120160646066
3974457A05BA475D,281,standard,kernel,0.937500000000,0.937500000000,6.933333333333,3.385416666667,4.140463789339,0.378707348886,0.127859924759
3974457A05BA475D,281,standard,constant,0.937500000000,0.937500000000,7.066666666667,3.450520833333,4.083833796412,0.378707348886,0.000000000000
3974457A05BA475D,281,standard,disabled,0.906250000000,0.906250000000,7.793103448276,3.678385416667,4.105688965542,1.000000000000,0.000000000000
3974457A05BA475D,281,standard,sign,0.968750000000,0.968750000000,6.677419354839,3.369140625000,4.103401498168,0.365677179963,0.141957380017
3974457A05BA475D,281,standard,tanh,0.937500000000,0.937500000000,7.033333333333,3.434244791667,4.087158495418,0.497601408132,0.086671068698
