experiment_hash,seed,condition,mode,accuracy,balanced_accuracy,spikes_per_correct,firing_rate_hz,effective_gate,effective_gate_variance,total_spikes
C18E63A3EA120D7C,1601,long_delay,constant,0.520833333333,0.520833333333,9.880000000000,1.340060763889,0.250993060986,0.000000000000,247
C18E63A3EA120D7C,1601,long_delay,disabled,0.541666666667,0.541666666667,10.038461538462,1.416015625000,1.000000000000,0.000000000000,261
C18E63A3EA120D7C,1601,long_delay,sign,0.520833333333,0.520833333333,9.760000000000,1.323784722222,0.227123287671,0.085538299869,244
C18E63A3EA120D7C,1601,long_delay,tanh,0.500000000000,0.500000000000,10.291666666667,1.340060763889,0.400231704763,0.055863326668,247
C18E63A3EA120D7C,1601,long_delay,random,0.541666666667,0.541666666667,9.500000000000,1.340060763889,0.263883427797,0.084792319635,247
C18E63A3EA120D7C,1663,medium_delay,kernel,0.583333333333,0.583333333333,8.250000000000,1.253255208333,0.292099646186,0.097804528112,231
C18E63A3EA120D7C,1663,medium_delay,constant,0.583333333333,0.583333333333,8.357142857143,1.269531250000,0.292099646186,0.000000000000,234
C18E63A3EA120D7C,1663,medium_delay,disabled,0.666666666667,0.666666666667,8.218750000000,1.426866319444,1.000000000000,0.000000000000,263
C18E63A3EA120D7C,1663,medium_delay,sign,0.583333333333,0.583333333333,8.214285714286,1.247829861111,0.267346938776,0.105872553103,230
C18E63A3EA120D7C,1663,medium_delay,tanh,0.645833333333,0.645833333333,7.774193548387,1.307508680556,0.457758739868,0.066215506872,241
C18E63A3EA120D7C,1663,medium_delay,random,0.583333333333,0.583333333333,8.321428571429,1.264105902778,0.290848403168,0.097273042760,233
C18E63A3EA120D7C,1663,long_delay,kernel,0.375000000000,0.375000000000,12.555555555556,1.226128472222,0.343322117759,0.117399906961,226
C18E63A3EA120D7C,1663,long_delay,constant,0.375000000000,0.375000000000,12.500000000000,1.220703125000,0.343322117759,0.000000000000,225
C18E63A3EA120D7C,1663,long_delay,disabled,0.479166666667,0.479166666667,10.521739130435,1.312934027778,1.000000000000,0.000000000000,242
C18E63A3EA120D7C,1663,long_delay,sign,0.375000000000,0.375000000000,12.555555555556,1.226128472222,0.326018396846,0.129730401764,226
C18E63A3EA120D7C,1663,long_delay,tanh,0.437500000000,0.437500000000,10.904761904762,1.242404513889,0.472544841616,0.077657891061,229
C18E63A3EA120D7C,1663,long_delay,random,0.395833333333,0.395833333333,12.000000000000,1.236979166667,0.354811724719,0.121071414816,228
C18E63A3EA120D7C,1721,medium_delay,kernel,0.437500000000,0.437500000000,11.523809523810,1.312934027778,0.323271215669,0.110360080001,242
C18E63A3EA120D7C,1721,medium_delay,constant,0.416666666667,0.416666666667,12.300000000000,1.334635416667,0.323271215669,0.000000000000,246
C18E63A3EA120D7C,1721,medium_delay,disabled,0.479166666667,0.479166666667,11.304347826087,1.410590277778,1.000000000000,0.000000000000,260
C18E63A3EA120D7C,1721,medium_delay,sign,0.437500000000,0.437500000000,11.428571428571,1.302083333333,0.298685939553,0.119472649066,240
C18E63A3EA120D7C,1721,medium_delay,tanh,0.416666666667,0.416666666667,12.350000000000,1.340060763889,0.463068626416,0.073803280696,247
C18E63A3EA120D7C,1721,medium_delay,random,0.437500000000,0.437500000000,11.761904761905,1.340060763889,0.311775739371,0.105961907486,247
C18E63A3EA120D7C,1721,long_delay,kernel,0.500000000000,0.500000000000,9.708333333333,1.264105902778,0.286302963110,0.095272701174,233
C18E63A3EA120D7C,1721,long_delay,constant,0.500000000000,0.500000000000,9.750000000000,1.269531250000,0.286302963110,0.000000000000,234
